post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
145642490.the-sustainable-artist-great-art,2024-06-14T14:35:02.479Z,true,2024-06-14T14:35:02.562Z,2024-06-14T14:35:02.562Z,newsletter,everyone,The Sustainable Artist - Great Art,Study of 'The Creative Act' and 'The War of Art',
143875227.getting-to-know-an-old-woman,2024-05-04T02:50:57.998Z,true,2024-05-04T02:50:58.146Z,2024-05-04T02:50:58.146Z,newsletter,everyone,Getting to know an old woman,cw: death,
141059186.2023-and-2024,2024-01-26T04:33:27.491Z,true,2024-01-26T04:33:27.560Z,2024-01-26T04:33:27.560Z,newsletter,everyone,2023 and 2024,a year's worth of content in a single post... good luck,
139712759.simplicity,2023-12-12T04:41:43.254Z,true,2023-12-12T04:41:43.301Z,2023-12-12T04:41:43.301Z,newsletter,everyone,Simplicity,,
139163188.artifacts,2023-11-26T19:52:56.233Z,true,2023-11-26T19:52:56.283Z,2023-11-26T19:52:56.283Z,newsletter,everyone,Artifacts!,2013-2016ish,
138732009.birthday,,false,,,newsletter,everyone,,,
138587343.d9c,,false,,,newsletter,everyone,,,
138438184.psls-arent-that-bad,2023-10-31T04:00:08.302Z,true,2023-10-31T04:00:08.502Z,2023-10-31T04:00:08.502Z,newsletter,everyone,"""PSLs aren't that bad""",and other things my teenage self would hate to hear me say. btw this is a really long post sorry,
138339339.1035pm-oct-23rd-2023,2023-11-05T17:00:47.947Z,true,2023-11-05T17:00:48.024Z,2023-11-05T17:00:48.024Z,newsletter,everyone,"10:35pm, Oct 23rd 2023",cw: death,
138202371.hello,2023-10-22T22:15:38.811Z,true,,,newsletter,everyone,Hello,,
138202360.coming-soon,2023-10-22T20:27:01.113Z,true,2023-10-22T20:27:01.113Z,2023-10-22T20:27:01.113Z,newsletter,everyone,Coming soon,,
138202359.how-to-use-the-substack-editor,,false,,,newsletter,everyone,,,
